,company_name,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_state,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
7794,CERT ACADEMY SDN BHD,4.4444,5,3,1,0,0,100%,88%,"taman tasik prima, puchong, selangor, malaysia",Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Sports (e.g. Gym), Parking, Company Trip, Monthly Best Employee, Annual Dinner",Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
7795,Customcraft (M) Sdn Bhd,2.1111,0,2,2,0,5,33%,33%,"pt73680, jalan 34/1b, off jalan bukit kemuning, seksyen 34, 40470 shah alam, selangor darul ehsan",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Insurance, etc",Business (e.g. Shirts),"English, Bahasa Malaysia & Chinese","Regular hours, Mondays - Fridays"
7796,Federlite Sdn Bhd,2.1667,0,1,0,4,1,44%,11%,"no.1, jalan bk 1/12, kinrara industrial park, bandar kinrara, 47100 puchong, selangor, malaysia",Selangor,51 - 200 ,TBA,TBA,TBA,"Regular hours, Mondays - Fridays"
7797,REHDA Institute,3.7778,2,4,2,1,0,88%,66%,"wisma rehda, no.2c jalan ss5d/6, kelana jaya, 47301 petaling jaya",Selangor,1 - 50 ,"Medical, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7798,TM Tours & Travel Sdn Bhd,3.0,2,2,1,2,2,66%,33%,"tm tours & travel sdn. bhd., seksyen 9, bandar baru bangi, selangor, malaysia",Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Loans, Staff Incentives",Formal (e.g. Shirts + Ties),Malay,Mondays - Fridays (Regular hours) and Saturdays (Half days)
7799,POLIKLINIK DAMAI SDN. BHD.,4.3333,6,1,1,1,0,88%,88%,"no 23a, jalan kesuma 3/11, bandar tasik kesuma, 43700 beranang selangor",Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Dental",Formal (e.g. Shirts + Ties),English,Saturdays/Shift required
7801,Shima Electronic Industry (Malaysia) Sdn Bhd,4.2222,5,3,0,0,1,88%,100%,"plo 683, jalan keluli zone 11, pasir gudang industrial estate, 81700 pasir gudang, johor",Johor,201 - 500 ,Medical,COMPANY UNIFORM,Malay,"Regular hours, Mondays - Fridays"
7804,SDMK SDN. BHD.,4.0,4,2,2,1,0,77%,55%,12 jalan sepadu 25/123 taman perindustrian axis shah alam selangor malaysia,Selangor,1 - 50 ,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7805,Kah Hong Precision Tooling Sdn Bhd,3.3333,1,4,2,1,1,66%,55%,"lot 2228, kampung batu 9, kebun baru, jalan kasawari, 42500 telok panglima garang, selangor",Selangor,51 - 200 ,Medical & Attendance  Allowance,Uniform provided,"Engilsh , Bahasa Malaysia",Monday to Saturday
7806,Anzeco Powertech Sdn Bhd,4.4444,7,1,0,0,1,100%,66%,"business suite 19a-11-3, level 11, uoa centre jalan pinang 50450 kuala lumpur",Penang,51 - 200 ,Medical,Business (e.g. Shirts),English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
7807,The Esquire Kitchen Sdn Bhd,2.8889,1,1,5,0,2,44%,55%,"pusat perdagangan phileo damansara 1, 46350 petaling jaya, selangor, malaysia",Selangor,201 - 500 ,"Medical, Parking, Yearly Increment, Bonus, Mileage Claim",Formal (e.g. Shirts + Ties),Mandarin,"Outlet - 6 days & 1 Day off , HQ- 5 Days a week"
7808,NILAI HARTA CONSULTANT SDN BHD,4.1111,2,6,1,0,0,100%,77%,"2-108 endah parade no. 1, jln 1/14e, bdr baru seri petaling - 57000",Selangor,1 - 50 ,Miscellaneous allowance,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays-Fridays"
7809,Ecolite  Biotech Manufacturing Sdn Bhd,3.6667,3,2,2,2,0,66%,77%,"lot 9284 & 9285, jalan yong peng, 83400 sri medan, 83400 batu pahat, johor",Johor,51 - 200 ,"Medical, Parking",Formal (e.g. Shirts + Ties),"English & Bahasa Malaysia, Mandarin","Regular hours, Mondays - Fridays"
7810,KAF Investment Bank Berhad,4.1111,6,1,0,1,1,66%,66%,"level 14, chulan tower, no 3, jalan conlay, 50450 kuala lumpur",Kuala Lumpur,201 - 500 ,"Medical, Education support",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7812,SPECTRUM OF LIFE SDN BHD,3.5556,4,0,3,1,1,88%,44%,"lot 442, wisma hrih lotus, jalan pahang, setapak, 53000 kuala lumpur",Pahang,1 - 50 ,"Medical, Parking, Insurance",Business (e.g. Shirts),English,5 days a week
7813,The Institute of Internal Auditors Malaysia,4.3333,6,2,0,0,1,100%,77%,"1-17-07, menara bangkok bank, berjaya central park, 105, jalan ampang, 50450 kuala lumpur",Selangor,1 - 50 ,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7814,Kiddy123 Sdn Bhd,4.5556,8,0,0,0,1,100%,88%,"block d-3a-5 seri gembira avenue, jalan senang ria, taman gembira, 58200 kuala lumpur",Kuala Lumpur,1 - 50 ,"Miscellaneous allowance, Parking, Hybrid Working",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7815,Weststar Maxus Sdn Bhd,3.3333,2,1,4,2,0,77%,44%,"no.366, jalan tun razak, 50400 kuala lumpur",Kuala Lumpur,51 - 200 ,"Group Insurance, Outpatient Medical, Annual Leave",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7816,CERT ACADEMY SDN BHD,4.4444,5,3,1,0,0,100%,88%,"taman tasik prima, puchong, selangor, malaysia",Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Sports (e.g. Gym), Parking, Company Trip, Monthly Best Employee, Annual Dinner",Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
7817,Ametalin Sdn Bhd,4.1111,6,1,0,1,1,77%,77%,"iskandar puteri, johor, malaysia",Johor,1 - 50 ,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7818,Bangi Wonderland Themepark & Resort,3.8889,3,4,1,0,1,100%,66%,bangi wonderland theme park and resort kajang selangor malaysia,Selangor,51 - 200 ,"Medical, Parking, Lunch Provided",Uniform,English,5 and a half day a week
7819,IIMAT (International Institute of Management & Technology),2.6667,2,2,0,1,4,44%,44%,"51 and 51a jalan ipoh (1st mile), 51200 kuala lumpur",Kuala Lumpur,1 - 50 ,Medical,Business (e.g. Shirts),English,"Monday to Friday, alternate Saturday (half day)"
7820,Seowon Precision Glass (M) Sdn.Bhd.,3.6667,4,1,2,1,1,88%,55%,"lot 2838, kawasan perindustrian chembong, rembau 71300 negeri sembilan darul khusus.",Negeri Sembilan,201 - 500 ,"Medical, Miscellaneous allowance, Education support, Loans, Parking, Vision, uniform & PPE",Casual (e.g. T-shirts),English,Saturdays/Shift required
7821,Sto SEA Sdn Bhd,2.7778,3,1,0,1,4,66%,44%,no 21 jalan rajawali 2 bandar puchong jaya 47100 puchong,Selangor,1 - 50 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7822,BIPO SERVICE MALAYSIA SDN. BHD.,2.5556,1,2,1,2,3,88%,33%,"unit 307, level 3, kl gateway mall, no 2, jalan kerinchi, pantai dalam, kuala lumpur, malaysia.",Kuala Lumpur,201 - 500 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7823,Master Builders Association Malaysia (MBAM),3.7778,2,4,2,1,0,88%,77%,"2-2 (2nd floor) jalan 2/109e desa business park, 58100 kuala lumpur",Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Education support",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7825,MTL Engineering Sdn. Bhd.,4.1111,4,2,3,0,0,100%,88%,"lot 22225, jalan bukit kemuning, batu 7  1/2, bukit kemuning, 40460, shah alam, selangor",Selangor,201 - 500 ,"Medical, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7826,Hikoki (Malaysia) Sdn Bhd,3.8889,3,4,1,0,1,88%,88%,"plo 53, kawasan perindustrian senai ii, 81400 senai, johor darul ta'zim.",Johor,201 - 500 ,"Medical, Dental, Transport Allowance, Position Allowance",Company Uniform will be provided.,English / Bahasa Malaysia / Chinese,"Regular hours, Mondays - Fridays"
7827,ETEX MALAYSIA SDN. BHD.,3.4444,2,2,3,2,0,100%,44%,"unit 19-02-01, level 2, wisma tune, no. 19, lorong dungun, damansara heights, 50490 kuala lumpur, malaysia",Selangor,1 - 50 ,"Medical, Education support, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7828,Safeguards Corporation Sdn Bhd,3.4444,3,2,2,0,2,77%,44%,jalan 223 seksyen 51a petaling jaya selangor malaysia,Selangor,2001 - 5000 ,"Medical, Miscellaneous allowance, Insurance, EPF, Socso, EIS",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7829,Customcraft (M) Sdn Bhd,2.1111,0,2,2,0,5,33%,33%,"pt73680, jalan 34/1b, off jalan bukit kemuning, seksyen 34, 40470 shah alam, selangor darul ehsan",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Insurance, etc",Business (e.g. Shirts),"English, Bahasa Malaysia & Chinese","Regular hours, Mondays - Fridays"
7830,Federlite Sdn Bhd,2.1667,0,1,0,4,1,44%,11%,"no.1, jalan bk 1/12, kinrara industrial park, bandar kinrara, 47100 puchong, selangor, malaysia",Selangor,51 - 200 ,TBA,TBA,TBA,"Regular hours, Mondays - Fridays"
7831,REHDA Institute,3.7778,2,4,2,1,0,88%,66%,"wisma rehda, no.2c jalan ss5d/6, kelana jaya, 47301 petaling jaya",Selangor,1 - 50 ,"Medical, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7832,HICOM Builders Sdn Bhd,4.0,4,3,1,0,1,77%,77%,"suite 3.2a , level 3 , wisma drb-hicom , no. 2 jalan ushawan u1/8 , seksyen u1 , 40150 shah alam , selangor",Selangor,51 - 200 ,"Vision, Medical, Miscellaneous allowance, Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7834,People Quest Sdn Bhd,3.1111,4,1,0,0,4,55%,55%,taman desa petaling kuala lumpur federal territory of kuala lumpur malaysia,Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Performance allowance,Outstation allowance,Mileage claim,Bonus,Hostel subsidy, Sports (e.g. Gym)",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7836,Global Environment Centre,4.2222,5,3,0,0,1,88%,88%,"no. 78-2, wisma hing, jalan ss 2/72, 47300 petaling jaya, selangor, malaysia",Selangor,1 - 50 ,TBA,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7837,WLT PROJECT MANAGEMENT SDN. BHD.,3.2222,5,0,0,0,4,77%,55%,"j-03a-3,block j setiawalk , persiaran wawasan pusat bandar puchong,47160, puchong selangor",Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Parking, between 1000-2000",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7840,SIGNATURE SNACK SDN. BHD.,3.2222,2,4,0,0,3,55%,55%,"medan connaught, no 1, jalan 3/144a, cheras, 56000 kuala lumpur.",Selangor,51 - 200 ,"Medical, Dental, Birthday Gift, Welcome Gift, Snacks, Staff Purchase, Annual Leave Encashment",Smart Casual,English,"Regular hours, Mondays - Fridays"
7841,Metrix Research Sdn Bhd,4.1111,5,1,2,1,0,77%,66%,"metrix research sdn bhd,7th floor , wisma wolkswagen,7, lorong maarof, bangsar , 59100,kuala lumpur",Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Education support, Dental, Vision",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7843,SMC Food21 (Malaysia) Sdn. Bhd.,3.0,3,2,0,0,4,100%,44%,pelabuhan tanjung pelepas gelang patah johor malaysia,Johor,51 - 200 ,"Medical, Miscellaneous allowance, Sports (e.g. Gym), Parking, Company trip, swimming pool in working place",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7844,Miri City Medical Centre,4.3333,4,4,1,0,0,100%,100%,"lot 916-920 & 1202 - 1203, jalan hokkien, 98000 miri, sarawak, malaysia",Sarawak,51 - 200 ,Medical,Business (e.g. Shirts),English,Monday - Saturday
7845,Advantage QS Sdn Bhd,3.7778,3,2,3,1,0,100%,66%,"no. 10b, 2nd floor, jalan ss3/5, 47300 petaling jaya, selangor",Selangor,1 - 50 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
7846,Rania Resources Sdn Bhd,3.7778,2,5,1,0,1,88%,77%,"suite 4800-3-7, cbd perdana, jalan perdana, off persiaran multimedia, cyberjaya 63000 selangor",Selangor,1 - 50 ,Medical,Casual (e.g. T-shirts),Malay,"Regular hours, Mondays - Fridays"
7847,POLIKLINIK DAMAI SDN. BHD.,4.3333,6,1,1,1,0,88%,88%,"no 23a, jalan kesuma 3/11, bandar tasik kesuma, 43700 beranang selangor",Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Dental",Formal (e.g. Shirts + Ties),English,Saturdays/Shift required
7849,KAGA Components (Malaysia) Sdn  Bhd,3.0,3,1,1,1,3,44%,55%,"plot 11, lorong jelawat, seberang jaya industrial estate, 13700 seberang jaya, penang",Penang,201 - 500 ,"Medical, Parking, Depends on job position",Depends on job position,English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
7850,FFM GRAINS & MILLS SDN. BHD.,4.2222,4,3,2,0,0,100%,100%,"lorong pukal 2, kawasan pelabuhan johor, 81700 pasir gudang",Johor,201 - 500 ,"Medical, Miscellaneous allowance, Sports (Weekly Badminton & Futsal)",Business (e.g. Shirts),English,Office/Exec: 8.45am - 5.45pm (Mon-Fri)/  Non-Exec: 8.00am - 4.00pm (Mon-Sat)
7851,M101 HOLDINGS SDN. BHD.,2.6667,3,1,0,0,5,77%,44%,"jalan ampang, kuala lumpur",Selangor,51 - 200 ,Medical,Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
7852,Brighttail Digital Sdn Bhd,4.7778,7,2,0,0,0,100%,66%,kuala lumpur,Kuala Lumpur,1 - 50 ,"Medical, Parking, Vision",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7854,Sumimetal Industries (Malaysia) Sdn Bhd,3.4444,1,2,6,0,0,66%,44%,"lot 568 & 569, bukit rambai industrial estate, melaka, malaysia",Melaka,51 - 200 ,"Medical, Meal Coupon for Lunch, Alternate Saturday Off, Training and Development",Casual (e.g. T-shirts),English,Regular hours
7855,Paragon Vest Sdn Bhd,2.3333,1,2,1,0,5,55%,11%,"16 jalan lada sulah 16/11, seksyen 16, 40200 shah alam, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Parking, Commissions",Business (e.g. Shirts),"English, Mandarin & Malay",Monday - Friday
7856,SecureOne Distribution Sdn Bhd,2.1111,1,1,0,3,4,66%,22%,"no 7, jalan 109e, desa business park, taman desa, 58100 kuala lumpur",Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Parking, Bonus, Hospitalization and Personal Accident Insurance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7857,CENTRAL INDUSTRIAL CORPORATION BERHAD,3.7778,2,5,1,0,1,88%,66%,"kawasan perusahaan bakar arang, sungai petani 08000 kedah malaysia",Kedah,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Parking, Insurance coverage",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7859,Jotex Sdn. Bhd.,4.2222,6,1,1,0,1,100%,66%,seremban negeri sembilan malaysia,Negeri Sembilan,1 - 50 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),Mandarin,"Regular hours, Mondays - Fridays"
7860,Mewamax Sdn Bhd,4.3333,4,4,1,0,0,100%,88%,"no.1 & 2, jalan kip 10, taman perindustrian kip, kepong, 52200 kuala lumpur.",Kuala Lumpur,51 - 200 ,"Medical, EPF,Socso,EIS, Annual Increment/Bonus, Incentives, Allowance, Extensive Training",formal / casual (sat),English / BM ,"8.45am-5.30pm (Mon-Fri), 8.45am-1.00pm (Sat) (alternate)"
7861,Wacoal Malaysia Sdn Bhd,4.6667,7,1,1,0,0,100%,100%,"section 13, jalan 13/2, petaling jaya, selangor",Selangor,51 - 200 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7862,Yollink Industries Sdn Bhd.,3.5,3,0,4,0,1,88%,88%,"lorong iks juru 7, taman perusahaan ringan juru, 14100 simpang ampat, penang, malaysia",Penang,51 - 200 ,"Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),English,Monday - Saturday (alternate by week)
7864,Dwisolar Sdn Bhd,4.0,4,2,2,1,0,88%,66%,"no. 13 & 15, jalan astaka u8/88a, seksyen u8, bukit jelutong, 40150 shah alam, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Dental, Others allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7865,Whitex Garments Sdn Bhd,3.7143,2,3,0,2,0,88%,55%,"50 jalan taming 2 taman tanming jaya, 43300 seri kembangan, selangor.",Selangor,201 - 500 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7867,TATSUNO ENGINEERING & SERVICE MALAYSIA SDN. BHD.,4.1111,6,1,0,1,1,88%,77%,"l3, jalan ml 16, ml 16 industrial park, 43300 seri kembangan, selangor malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Annual leave 14 days per year , NO OT culture",Business (e.g. Shirts),English,8.30AM - 5.30PM
7868,T.E.M. ENGINEERING SDN BHD,2.6667,0,3,2,2,2,77%,33%,"8 jalan tpp 6/7 taman perindustrian puchong, seksyen 6, puchong, selangor",Selangor,51 - 200 ,"Medical, Bonus, Company Outing, Annual Dinner",Business (e.g. Shirts),English,5.5 days a week
7870,GME Carbon Sdn Bhd,2.4444,1,1,2,2,3,77%,33%,"no. 4, jalan indah gemilang 6, taman perindustrian gemilang, 81800 ulu tiram, johor, malaysia",Johor,1 - 50 ,"Miscellaneous Allowance, Medical &Life Insurance, Company Trips, Annual Dinner, ",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7871,J&T EXPRESS (MALAYSIA) SDN. BHD. - SOUTH SELANGOR,3.8889,4,2,2,0,1,77%,55%,"lot pt5038-5041, jalan teluk datuk 28/40, off persiaran sepang, seksyen 28, shah alam, 40400, selangor.",Selangor,1001 - 2000 ,"Medical, Incentives, Training",Business (e.g. Shirts),"English, Mandarin",Depends on your Nature of Job
7872,Dian Makmur Sdn Bhd,4.3333,4,4,1,0,0,88%,77%,"no. 11a, jalan tp 7, taman perindustrian sime uep, 47600 subang jaya, selangor",Selangor,51 - 200 ,Miscellaneous allowance,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7873,Mecacom Technologies Sdn Bhd,4.2222,4,3,2,0,0,55%,66%,"mecacom penang branch office: no. 14, lorong perda timur 17, bandar perda 14000 bukit mertajam, pulau pinang",Penang,1 - 50 ,"Higher Commission Scheme, EPF, SOCSO, Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
7874,Petro-Pipe (Sabah) Sdn Bhd,3.3333,3,2,1,1,2,22%,55%,"no.1, jalan 4, kkip timur, industrial zone 13 (iz13), kkip, 88460, kota kinabalu, sabah.",Sabah,51 - 200 ,"Medical, Dental, Vision",Business (e.g. Shirts),English,Monday to Friday & Saturday (half day)
7875,FAGERDALA MALAYSIA SDN BHD,3.2222,3,2,1,0,3,77%,66%,"plot 36, lorong perusahaan maju 7, kawasan perindustrian perai 4, 13600 prai, penang",Penang,51 - 200 ,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7876,Gathergates Industries (M) Sdn Bhd,3.5556,3,3,0,2,1,55%,55%,"18 jalan mega 1/8 taman perindustrian nusa cemerlang,79200 nusajaya, johor",Johor,51 - 200 ,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
7877,Malaysian Institute of Art (MIA),3.8889,2,4,3,0,0,77%,77%,"294-299 jalan bandar 11, taman melawati, 53100 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,51 - 200 ,Medical,Business (e.g. Shirts),English,Saturdays/Shift required
7878,Kalbe Malaysia Sdn Bhd,4.0,4,2,2,1,0,66%,88%,"c-13-4 & c-13-5, wisma goshen, plaza pantai, no. 5, jalan 4/83a, off jalan pantai baru, 59200 kuala lumpur.",Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7879,Arkema Coating Resins Malaysia Sdn. Bhd.,4.3333,4,4,1,0,0,100%,100%,"plo 491, jalan keluli, kawasan perindustrian pasir gudang, 81700 pasir gudang, johor, malaysia",Johor,51 - 200 ,"Medical, Dental, Parking, Group Insurance, AWS, Target Incentive Scheme, Additional EPF Voluntary",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7880,MRO Market Sdn Bhd,2.8889,0,3,4,0,2,100%,44%,"no.12-g, jalan merbah 4 bandar puchong jaya puchong 47170 selangor malaysia",Selangor,1 - 50 ,"Education support, Loans, Parking, Monthly Cash Rewards for Performance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7881,NOBLELIFT MALAYSIA SDN. BHD.,3.3333,3,1,3,0,2,77%,55%,"lot 87133 & 130428, jalan canang emas 8/ks 10, 42000, telok gong, pelabuhan klang, selangor.",Selangor,51 - 200 ,Medical,Company Uniform,English,Saturdays/Shift required
7882,Manjaku Holdings Sdn Bhd,3.8889,4,2,2,0,1,77%,55%,"t2-l5-2, level 5, ioi city tower two, lebuh irc, ioi resort city, 62502 putrajaya, malaysia.",,201 - 500 ,"Medical, Miscellaneous allowance, Parking, Medical Insurance",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7883,MKA CABINET & DESIGN (M) SDN BHD,3.0,0,5,1,1,2,88%,55%,"no. 9, jalan utama 2/36, taman perindustrian puchong utama, 47100 selangor",Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Vision, Rewards, Incentive",Business (e.g. Shirts),Mandarin,"Regular hours, six days per week"
7884,SCORE EPCC SDN BHD,4.6667,7,1,1,0,0,100%,66%,sarawak,Sarawak,201 - 500 ,"Medical, Hostel, free laundry service, Group PA insurance, meal allowance",Uniform,Mandarin,MONDAY - SATURDAY
7885,Novozymes Malaysia Sdn Bhd,4.5556,6,2,1,0,0,100%,77%,novozymes malaysia sdn bhd taman teknologi malaysia kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Dental, Parking, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7886,Regalia Records Management Sdn Bhd,3.4444,2,3,2,1,1,66%,66%,"lot 6 jalan astaka u8/84, seksyen u8 bukit jelutong, 40150 shah alam, selangor",Selangor,51 - 200 ,"Medical, dental, optical, Insurance (GHS, GPA & GTL) & free parking.",Office Attire,English,9:00am to 6:00pm (Mondays – Fridays)
7887,Pro-Office Shoppe Sdn Bhd,3.8889,2,4,3,0,0,66%,88%,"50 jalan intan 1, taman puchong intan, 47100 puchong, selangor, malaysia",Selangor,1 - 50 ,"EPF, SOCSO",Formal (e.g. Shirts + Ties),Malay,"Regular hours, Mondays - Fridays"
7888,READING LAB,3.6667,4,1,2,1,1,88%,66%,"33 jalan ttdi grove 7/1, ttdi grove square ii, 43000 kajang",,1 - 50 ,"Medical, Miscellaneous allowance, Education support, Parking, Vision, Comprehensive training is provided.",Smart Casual,English,"Regular hours, Mondays - Fridays"
7889,KINETICS PLAY SDN. BHD.,3.5556,2,4,1,1,1,77%,66%,"lot 2-44, jalan su 7, lion industrial park,, persiaran tengku ampuan,",,1 - 50 ,Medical,Smart Casual,English,"Monday to Friday, 9am - 6pm (Alternate Saturday)"
7890,FOOD & BEVERAGE RESOURCES PG SDN BHD,3.5556,5,1,0,0,3,77%,66%,paya terubong air itam penang malaysia,Penang,51 - 200 ,"Medical, Parking",Casual (e.g. T-shirts),English,MON TO FRI
7891,Empire Building Facilities Sdn. Bhd.,2.2222,1,2,0,1,5,44%,22%,"| b-03-07, seri gembira avenue, no. 6, jalan senang ria, taman gembira, 58200 kuala lumpur, malaysia.",Kuala Lumpur,1 - 50 ,"Medical, Loans",Formal (e.g. Shirts + Ties),English,Monday-Saturday
7892,SF TECHLOGIS SDN BHD,2.3333,1,1,2,1,4,44%,11%,"no 66 ,jalan scientex jaya 5, taman scientex senai, 81400 senai, johor.",Johor,1 - 50 ,Medical,Business (e.g. Shirts),Mandarin,Monday to Friday 9.00a.m - 6.00p.m.
7893,Essentra Asia Sdn. Bhd,3.5,3,2,1,0,2,77%,33%,"essentra asia sdn. bhd. lot 196803 hala jati 12, kawasan perindustrian taman meru, off jalan jelapang , 30020 ipoh, perak darul ridzuan",Perak,51 - 200 ,"Dental, Medical, Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
7894,NCSI (Malaysia) Sdn Bhd,3.25,2,2,1,2,1,77%,44%,"unit ta-16-1, level 16, tower a, plaza 33, no.1, jalan kemajuan, seksyen 13, 46200 petaling jaya. selangor dahrul ehsan, malaysia",Selangor,51 - 200 ,"Dental, Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7895,Malaysian Institute of Management (MIM),4.125,3,4,0,1,0,77%,77%,"jaya 33, level 11, tower 1, jalan semangat petaling jaya selangor malaysia",Selangor,51 - 200 ,"Education support, Dental, Medical",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7897,NCR Payments and Services Malaysia Sdn Bhd,3.6667,4,2,1,0,2,77%,88%,the gardens north tower mid valley city kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,"Dental, Medical, Miscellaneous allowance, Monthly Social Activities, Parking, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7898,Edasu Hiromori Sdn Bhd,1.3333,0,0,1,1,7,66%,11%,"jalan desa jaya, taman desa, 58100 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,1 - 50 ,"depends on job position, Medical",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7899,KT Cyclone Sdn Bhd,2.6667,2,2,0,1,4,77%,44%,26-28 jalan perda timur bandar baru perda 14000 bukit mertajam penang malaysia,Penang,1 - 50 ,"Medical, performance annual bonus, profit sharing, team building, company trip",Smart and casual outfit,Mandarin,Monday-Friday : 8:30am-6:00pm
7900,Hisniaga Sdn Bhd,4.4444,5,3,1,0,0,88%,88%,block 2 suite 19-2 menara [email protected] city 46200 jalan utara petaling jaya selangor malaysia,Selangor,51 - 200 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
7902,Jumbohan Marketing Sdn Bhd,4.4444,5,3,1,0,0,100%,100%,"lot 16, jalan perusahaan 2, kawasan perindustrian batu caves, 68100 selangor",Selangor,1 - 50 ,"Insurance, Medical, Sports (e.g. Gym)",Business (e.g. Shirts),Malay,"Regular hours, Mondays - Fridays"
7904,MaidEasy Sdn. Bhd.,3.7778,4,2,1,1,1,88%,55%,the vertical business suite jalan kerinchi bangsar south kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,1 - 50 ,TBA,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
